name,price ($),weight (kg),length (m),width (m),height (m),shipment date,port of loading,Vessel,Dwell after shipping,Customer,Called for inspection
Pallete of Apples,79.72,200.41,1.01,0.98,0.55,09/03/2022,Port of Tianjin (China),LINDA,11,4,Y
Garden Hose,28.37,1.92,23.82,0.31,0.19,14/04/2022,Port of Singapore (Singapore),HANA,37,14,N
Fridge,941.03,82.71,1.18,0.73,0.57,14/03/2022,Port of Busan (South Korea),SAKURA,37,5,N
Beach Towel,10.46,0.91,1.65,0.64,0.08,02/10/2022,Port of Tianjin (China),LINDA,45,13,N
Medium Shipping Tube,8.3,0.23,0.32,0.11,0.64,11/09/2022,Port of Shanghai (China),LINDA,50,19,N
Toilet Brush,8.37,0.55,0.16,0.1,0.31,29/07/2022,Port of Tianjin (China),HANA,50,14,N
Large Box,34.66,0.94,0.96,0.45,0.32,30/08/2022,Port of Busan (South Korea),SERENA,39,20,N
Planting Trowel,13.61,0.5,0.16,0.05,0.09,14/11/2022,Port of Shanghai (China),LINDA,5,16,Y
Big Bag with Glass Scraps,237.18,1449.09,1.81,0.67,0.25,27/01/2022,Port of Tianjin (China),LINDA,16,8,Y
Rice,77.72,175.64,0.69,0.33,0.58,30/08/2022,Port of Shanghai (China),LINDA,15,6,Y
Bluetooth Speaker,76.02,1.95,0.25,0.2,0.12,07/09/2022,Port of Busan (South Korea),SERENA,75,11,N
Vacuum Cleaner,627.32,2.32,0.51,0.67,0.16,08/06/2022,Port of Singapore (Singapore),AURORA,58,12,N
Small Padded Envelope,2.8,0.16,0.15,0.09,0.05,06/11/2022,Port of Busan (South Korea),SAKURA,70,3,N
Swim Goggles,7.05,0.18,0.14,0.07,0.1,26/01/2022,Port of Tokyo (Japan),SAKURA,26,2,N
Water Heater,54.68,7.37,0.31,0.2,0.15,23/07/2022,Port of Tokyo (Japan),AURORA,45,2,N
Printer,134.35,6.68,0.39,0.37,0.38,01/05/2022,Port of Busan (South Korea),AMELIA,41,19,N
Lawn Mower,299.11,26.94,1.06,0.97,0.68,31/12/2022,Port of Singapore (Singapore),AURORA,48,2,N
Sleeping Bag,88.52,2.65,1.05,0.8,0.47,08/12/2022,Port of Shanghai (China),HANA,14,10,Y
Pallete of Coffee,302.42,880.39,1.15,0.93,1.45,19/01/2022,Port of Shanghai (China),LINDA,17,16,Y
Pallete of Crackers,139.53,267.61,1.18,0.95,1.25,24/03/2022,Port of Tokyo (Japan),SERENA,74,8,N
Big Bag with Paper Scraps,104.64,1514.13,1.8,0.67,0.28,21/03/2022,Port of Tokyo (Japan),AURORA,82,5,N
Electric Kettle,26.27,1.36,0.27,0.27,0.27,16/01/2022,Port of Tianjin (China),HANA,11,15,Y
Large Desk,272.31,22.23,1.72,0.99,0.79,06/08/2022,Port of Tianjin (China),HANA,41,5,N
Television,1183.86,28.28,1.32,0.35,0.17,31/12/2022,Port of Tokyo (Japan),AURORA,43,6,N
Soccer Ball,20.7,0.48,0.25,0.22,0.23,16/10/2022,Port of Singapore (Singapore),AURORA,28,12,N
Garden Hose,19.65,1.15,12.69,0.29,0.17,13/12/2022,Port of Tokyo (Japan),SAKURA,49,9,N
Folding Table,27.94,8.31,0.86,0.96,0.18,06/04/2022,Port of Singapore (Singapore),AURORA,69,5,N
Piano,29673.57,405.92,1.91,0.92,1.35,06/05/2022,Port of Busan (South Korea),SAKURA,27,8,N
Tennis Racket,43.37,0.33,0.62,0.23,0.1,22/07/2022,Port of Busan (South Korea),AMELIA,15,9,Y
Small Padded Envelope,2.38,0.16,0.13,0.1,0.02,07/08/2022,Port of Busan (South Korea),AMELIA,67,5,N
Speakers,358.01,4.52,0.46,0.41,0.4,16/01/2022,Port of Shanghai (China),LINDA,38,20,N
Weed Whacker,54.18,3.77,0.91,0.2,0.29,20/12/2022,Port of Singapore (Singapore),AURORA,31,1,N
Kitchen Timer,13.72,0.14,0.18,0.12,0.14,25/05/2022,Port of Singapore (Singapore),AURORA,63,17,N
Bed,457.63,92.11,2.27,1.58,1.35,27/12/2022,Port of Shanghai (China),HANA,64,16,N
Microwave,172.81,4.19,0.41,0.31,0.28,13/09/2022,Port of Singapore (Singapore),HANA,65,3,N
Guitar Case,127.49,7.5,1.01,0.4,1.13,17/07/2022,Port of Tokyo (Japan),SAKURA,68,6,N
Bag of Rice,17.13,7.12,0.54,0.45,0.74,28/03/2022,Port of Tianjin (China),LINDA,9,12,Y
Medium Box,13.12,0.39,0.56,0.34,0.23,12/08/2022,Port of Tianjin (China),HANA,57,16,N
Small Box,9.97,0.22,0.21,0.25,0.15,04/02/2022,Port of Tianjin (China),LINDA,40,13,N
Tablet,967.47,0.69,0.19,0.31,0.09,23/08/2022,Port of Tianjin (China),LINDA,39,19,N
Big Bag with Chemicals,154.73,626.87,1.3,0.72,0.26,14/07/2022,Port of Singapore (Singapore),HANA,31,20,N
Large Box,23.15,0.61,0.74,0.45,0.34,01/07/2022,Port of Singapore (Singapore),HANA,60,6,N
Pruning Shears,11.18,0.5,0.23,0.07,0.06,18/09/2022,Port of Singapore (Singapore),HANA,61,13,N
Gaming Mouse,61.35,0.22,0.13,0.09,0.03,03/08/2022,Port of Singapore (Singapore),HANA,61,19,N
Printer,247.29,11.93,0.36,0.39,0.15,26/07/2022,Port of Busan (South Korea),SAKURA,34,4,N
Wine Bottle,27.97,0.52,0.26,0.17,0.3,30/08/2022,Port of Tokyo (Japan),AURORA,28,12,N
Pallete of Orange Juice,247.99,533.83,1.1,0.89,1.45,19/04/2022,Port of Busan (South Korea),SAKURA,41,12,N
Box of Cans of Tuna,22.83,11.05,0.76,0.59,0.29,04/09/2022,Port of Singapore (Singapore),HANA,32,7,N
Hiking Boots,105.85,1.57,0.38,0.21,0.29,20/01/2022,Port of Shanghai (China),LINDA,43,15,N
Small Boat,8077.99,849.11,4.96,1.6,2.42,21/01/2022,Port of Shanghai (China),LINDA,28,7,Y
Big Bag with Debris,100.7,1087.31,1.65,1.14,0.19,07/06/2022,Port of Tianjin (China),LINDA,27,3,Y
Pallete of Chairs,1133.81,3260.93,1.38,1.24,1.26,15/05/2022,Port of Singapore (Singapore),HANA,67,18,N
Glass Sheets,52.74,31.79,1.31,1.01,0.08,29/08/2022,Port of Tianjin (China),LINDA,54,8,N
Pallete of Books,232.46,839.74,1.4,0.8,1.15,27/12/2022,Port of Busan (South Korea),SERENA,29,4,N
Whey Protein Powder,58.8,1.88,0.35,0.32,0.13,23/06/2022,Port of Tianjin (China),HANA,10,11,Y
Jet Ski,8591.37,178.39,2.49,1.32,1.25,08/12/2022,Port of Tokyo (Japan),AURORA,47,7,N
Compost Bin,56.17,11.31,0.72,0.96,1,25/09/2022,Port of Shanghai (China),LINDA,25,8,N
Picture Frame,10.12,0.22,0.21,0.17,0.01,10/09/2022,Port of Shanghai (China),LINDA,56,6,N
Camping Stove,75.59,1,0.26,0.29,0.09,21/10/2022,Port of Busan (South Korea),AMELIA,30,16,N
Compost Bin,78.52,14.26,0.73,0.92,0.99,01/09/2022,Port of Shanghai (China),HANA,10,3,Y
Foam Roller,20.93,0.98,0.37,0.18,0.2,10/05/2022,Port of Busan (South Korea),SERENA,54,3,N
Carton of Eggs,5.47,0.84,0.14,0.06,0.13,11/09/2022,Port of Singapore (Singapore),AURORA,51,20,N
Pallete of Books,149.96,960.21,0.67,0.37,1.08,11/11/2022,Port of Busan (South Korea),AMELIA,24,12,Y
Box of Pasta,6.45,0.67,0.38,0.16,0.19,23/12/2022,Port of Tianjin (China),LINDA,75,12,N
Keyboard,124.44,0.63,0.57,0.53,0.18,03/06/2022,Port of Singapore (Singapore),AURORA,51,8,N
Toaster,46.89,1.46,0.51,0.26,0.13,24/02/2022,Port of Singapore (Singapore),HANA,28,18,N
Small Box,9.61,0.23,0.26,0.29,0.16,29/09/2022,Port of Busan (South Korea),AMELIA,71,18,N
Television,577.36,12.37,1.03,0.21,0.18,19/12/2022,Port of Shanghai (China),HANA,41,7,N
Piano,24625.3,367.64,1.64,0.91,1.41,30/09/2022,Port of Tokyo (Japan),SERENA,32,14,N
Bassinet,260.1,8.27,0.86,0.65,0.66,02/08/2022,Port of Tianjin (China),LINDA,56,9,N
Backpacking Tent,492.74,2.98,1.93,1.8,1.18,10/11/2022,Port of Singapore (Singapore),AURORA,70,12,N
Armchair,221.65,39.31,1.04,0.83,0.9,19/12/2022,Port of Busan (South Korea),SERENA,10,19,Y
Extra Large Box,48.35,1.18,1.02,0.61,0.55,12/12/2022,Port of Busan (South Korea),AMELIA,75,14,N
Duffel Bag,57.06,1.8,0.54,0.65,0.27,19/11/2022,Port of Tokyo (Japan),SERENA,54,3,N
Pallete of Cleaning Products,220.42,603.96,1.02,0.96,1.23,09/12/2022,Port of Singapore (Singapore),AURORA,45,4,N
Blender,50.46,3,0.22,0.37,0.39,28/10/2022,Port of Shanghai (China),LINDA,7,17,Y
Gaming Console,744.17,2.9,0.26,0.21,0.12,04/04/2022,Port of Tokyo (Japan),SAKURA,38,1,N
Wine Opener,23.43,0.76,0.17,0.18,0.06,03/06/2022,Port of Shanghai (China),LINDA,35,2,N
Box of Crackers,3.25,0.26,0.14,0.05,0.06,05/08/2022,Port of Busan (South Korea),SAKURA,53,20,N
Pallete of Magazines,106.43,469.54,1.43,0.8,1.09,20/05/2022,Port of Tianjin (China),LINDA,58,6,N
Hair Dryer,77.49,0.83,0.23,0.16,0.13,03/02/2022,Port of Tianjin (China),HANA,6,19,Y
Garden Hose,31.76,2.33,12.23,0.29,0.1,05/07/2022,Port of Busan (South Korea),AMELIA,53,15,N
Palette Water Bottles,120.22,944.64,1.2,0.88,1,05/12/2022,Port of Singapore (Singapore),HANA,38,5,N
Dish Rack,28.13,1.27,0.47,0.38,0.12,07/10/2022,Port of Tokyo (Japan),AURORA,41,2,N
Pallete of Musical Instruments,750.56,1565.13,1.4,0.96,0.59,18/03/2022,Port of Tianjin (China),HANA,23,9,Y
Snowboard,187.52,4.04,1.49,0.35,0.14,03/12/2022,Port of Tokyo (Japan),AURORA,35,3,N
Large Shipping Tube,29.77,0.44,0.74,0.49,1.74,27/06/2022,Port of Busan (South Korea),SAKURA,67,3,N
Lawn Mower,318.97,34.71,1.17,0.69,0.61,12/02/2022,Port of Busan (South Korea),AMELIA,73,10,N
Generators,4744.24,143.7,0.83,0.56,0.53,16/12/2022,Port of Shanghai (China),LINDA,23,8,Y
Bicycle,181.91,10.61,1.54,0.9,1.06,06/10/2022,Port of Busan (South Korea),SERENA,44,14,N
Car,118602.81,2882.9,3.83,2.03,1.56,22/01/2022,Port of Tianjin (China),LINDA,73,19,N
Cement Bag,32.33,22.87,0.35,0.34,0.37,10/11/2022,Port of Tianjin (China),LINDA,43,18,N
Coffee Maker,189.75,2.5,0.26,0.28,0.29,11/07/2022,Port of Busan (South Korea),AMELIA,48,7,N
Washing machine,626.91,71.21,0.93,0.66,0.53,17/07/2022,Port of Shanghai (China),LINDA,11,14,Y
Yoga Mat,28.13,1.41,1.15,0.78,0.07,16/10/2022,Port of Shanghai (China),LINDA,3,8,Y
Medium Box,16,0.39,0.46,0.3,0.25,18/12/2022,Port of Tianjin (China),LINDA,4,9,Y
Pallete of Cement,253.77,1077.24,1.41,1.01,1.48,06/12/2022,Port of Shanghai (China),LINDA,86,10,N
Armchair,257.97,30.94,1.45,0.8,0.96,26/01/2022,Port of Tokyo (Japan),SERENA,70,7,N
Cookware Set,152.82,7.26,0.32,0.5,0.1,26/07/2022,Port of Tokyo (Japan),SERENA,32,1,N
Big Bag with Paper Scraps,101.48,1405.52,1.69,1.07,0.29,11/06/2022,Port of Singapore (Singapore),AURORA,79,16,N
Box of Canned Soup,48.04,7.7,0.49,0.27,0.22,10/12/2022,Port of Busan (South Korea),SAKURA,38,10,N
Lawn Mower,103.38,28.81,1.33,0.82,0.5,28/10/2022,Port of Busan (South Korea),AMELIA,37,11,N
Resistance Loop Bands,20.56,0.33,0.18,0.03,0.02,30/01/2022,Port of Busan (South Korea),SAKURA,75,1,N
Resistance Bands,14.93,0.45,0.14,0.1,0.02,21/02/2022,Port of Singapore (Singapore),HANA,61,2,N
Small Box,5.43,0.3,0.22,0.29,0.13,08/04/2022,Port of Singapore (Singapore),HANA,28,6,N
Forklift,9556.97,6965.17,2.32,1.22,1.59,07/02/2022,Port of Shanghai (China),LINDA,93,4,N
TV,1670.29,10.62,1.76,1.7,0.42,03/05/2022,Port of Busan (South Korea),SERENA,55,2,N
Fan,38.79,1.2,0.26,0.39,0.27,01/11/2022,Port of Tokyo (Japan),AURORA,71,14,N
Computer,1427.41,3.07,0.53,0.51,0.18,11/12/2022,Port of Busan (South Korea),SERENA,58,5,N
PVC Pipes,9.93,2.55,1.2,0.09,0.5,16/10/2022,Port of Shanghai (China),HANA,32,6,N
Mixed Dried Fruits,17.67,0.82,0.3,0.23,0.15,10/03/2022,Port of Shanghai (China),LINDA,5,11,Y
Extra Large Box,40.62,1.41,1.43,0.62,0.55,15/12/2022,Port of Tianjin (China),HANA,32,19,N
Box of Cans of Tuna,19.49,8.56,0.41,0.49,0.3,12/01/2022,Port of Busan (South Korea),SERENA,35,10,N
Drawstring Bag,14.98,0.66,0.19,0.3,0.18,09/05/2022,Port of Singapore (Singapore),HANA,50,8,N
Mattress,271.82,26.97,1.59,1.01,0.26,04/06/2022,Port of Shanghai (China),LINDA,46,7,N
Fan,91.02,4.13,0.26,0.29,0.36,17/12/2022,Port of Busan (South Korea),AMELIA,26,20,N
Camera,731.61,0.74,0.18,0.18,0.08,20/09/2022,Port of Singapore (Singapore),AURORA,40,14,N
Weed Whacker,198.58,2.48,1,0.22,0.23,02/06/2022,Port of Tianjin (China),HANA,15,12,Y
Pallete of Canned Fruit,131.02,459.31,1.11,0.84,1.4,11/05/2022,Port of Busan (South Korea),AMELIA,61,10,N
Fitness Trackers,197.17,0.14,0.35,0.47,0.18,09/08/2022,Port of Singapore (Singapore),HANA,72,17,N
Leaf Blower,97.35,4.53,0.79,0.22,0.25,25/05/2022,Port of Tianjin (China),LINDA,36,17,N
Corn (Canned),46.2,57.12,0.4,0.3,0.3,24/07/2022,Port of Singapore (Singapore),AURORA,45,19,N
Instant Noodle Pack,6.04,0.29,0.18,0.1,0.1,01/10/2022,Port of Tianjin (China),LINDA,44,10,N
Big Bag with Fertilizer,172.04,783.68,1.07,0.77,0.26,08/09/2022,Port of Tokyo (Japan),SERENA,62,8,N
Cookware Set,436.71,7.47,0.32,0.49,0.14,08/12/2022,Port of Busan (South Korea),SAKURA,28,12,N
Pallete of Apples,70.09,216.97,1.03,0.82,0.63,01/09/2022,Port of Tianjin (China),LINDA,48,16,N
Hiking Boots,74.21,2.29,0.48,0.33,0.24,19/03/2022,Port of Singapore (Singapore),AURORA,72,4,N
Running Shoes,83.26,0.85,0.37,0.23,0.13,19/10/2022,Port of Shanghai (China),LINDA,41,2,N
Resistance Bands,26.23,0.2,0.45,0.03,0.02,13/10/2022,Port of Busan (South Korea),SAKURA,48,15,N
Coffee Table,61.86,12.61,1.02,0.53,0.58,07/06/2022,Port of Singapore (Singapore),AURORA,58,14,N
Bassinet,109.88,7.64,0.83,0.67,0.51,04/05/2022,Port of Tianjin (China),LINDA,50,13,N
Piano,8293.3,277.13,1.64,0.54,1.47,10/03/2022,Port of Shanghai (China),LINDA,39,8,N
Pallete of Plastic Cups,147.98,314.41,1.2,0.8,1.2,10/10/2022,Port of Shanghai (China),HANA,31,1,N
Palette Water Bottles,586.35,960.56,1.2,0.8,1,07/06/2022,Port of Busan (South Korea),SERENA,32,18,N
Box of Canned Soup,33.37,5.01,0.64,0.32,0.22,25/03/2022,Port of Singapore (Singapore),AURORA,74,8,N
Wheelbarrow,187.18,27.33,1.35,0.58,0.91,14/09/2022,Port of Tokyo (Japan),SERENA,48,5,N
Hedge Trimmer,133.76,6.46,1.06,0.25,0.3,26/07/2022,Port of Shanghai (China),HANA,53,7,N
Spices Collection,31.1,0.54,0.27,0.26,0.15,22/07/2022,Port of Busan (South Korea),AMELIA,49,20,N
Yoga Mat,31.95,1.39,1.26,0.56,0.1,05/08/2022,Port of Tianjin (China),LINDA,49,17,N
Toy Car,28.5,0.45,0.36,0.25,0.18,02/02/2022,Port of Shanghai (China),LINDA,41,14,N
Sleeping Bag,51.98,1.67,0.71,0.3,0.29,11/09/2022,Port of Shanghai (China),LINDA,53,1,N
Headphones,170.31,0.26,0.15,0.18,0.07,11/06/2022,Port of Busan (South Korea),SERENA,32,6,N
Lawn Sprinkler,16.89,1.92,0.31,0.25,0.14,05/03/2022,Port of Busan (South Korea),AMELIA,66,1,N
Watering Can,7.62,1.93,0.46,0.14,0.19,23/12/2022,Port of Tianjin (China),HANA,72,11,N
Toy Car,26.99,0.26,0.37,0.24,0.19,,Port of Tokyo (Japan),SAKURA,55,13,N
Running Shoes,92.55,0.8,0.4,0.16,0.19,19/10/2022,Port of Singapore (Singapore),AURORA,57,6,N
Duffel Bag,45.15,2.17,0.63,0.67,0.29,04/10/2022,Port of Busan (South Korea),SAKURA,59,4,N
Small Flat Rate Box,7.18,0.38,0.37,0.24,0.08,29/03/2022,Port of Shanghai (China),LINDA,42,5,N
Sports Car,1814302.69,1575.8,4.46,1.98,1.41,09/12/2022,Port of Singapore (Singapore),HANA,63,13,N
Teapot,42.88,1.02,0.2,0.28,0.24,25/10/2022,Port of Shanghai (China),LINDA,9,18,Y
Resistance Bands,10.4,0.3,0.35,0.03,0.02,28/12/2022,Port of Shanghai (China),LINDA,53,4,N
Medium Box,14.88,0.47,0.44,0.34,0.26,07/06/2022,Port of Tokyo (Japan),SAKURA,27,11,N
Pallete of Canned Vegetables,105.09,351.32,1.07,0.99,1.44,23/12/2022,Port of Shanghai (China),LINDA,59,18,N
Smartphone,559.56,0.12,0.06,0.07,0.04,,Port of Tokyo (Japan),SERENA,71,6,N
Laptop Backpack,83.88,1.1,0.42,0.21,0.49,04/10/2022,Port of Busan (South Korea),AMELIA,64,8,N
Small Bubble Mailer,4.15,0.1,0.14,0.1,0.01,22/01/2022,Port of Busan (South Korea),SAKURA,35,11,N
Toilet Brush,10.01,0.36,0.15,0.1,0.31,26/08/2022,Port of Tianjin (China),LINDA,61,20,N
Toaster,35.54,1.26,0.27,0.26,0.24,16/04/2022,Port of Busan (South Korea),AMELIA,56,14,N
Medium Box,10.94,0.37,0.6,0.31,0.22,25/06/2022,Port of Shanghai (China),HANA,15,11,Y
Extra Large Box,51.86,1.25,1.47,0.6,0.5,25/12/2022,Port of Busan (South Korea),SAKURA,58,2,N
Electric Guitar,261.09,4.99,1.23,0.37,0.28,23/01/2022,Port of Busan (South Korea),AMELIA,58,2,N
Scooter,149.58,3.03,1.12,0.25,0.21,02/01/2022,Port of Tianjin (China),LINDA,7,16,Y
Showerhead,22.8,1.11,0.22,0.2,0.19,02/05/2022,Port of Singapore (Singapore),HANA,46,5,N
Resistance Bands,23.94,0.13,0.4,0.03,0.03,21/10/2022,Port of Tianjin (China),LINDA,10,6,Y
Violin,276.43,1.06,0.24,0.09,0.08,04/09/2022,Port of Tokyo (Japan),AURORA,52,9,N
Metal Pipes,56.27,45.29,2.74,0.18,1.61,26/05/2022,Port of Busan (South Korea),AMELIA,69,5,N
PC Mice,82.88,0.11,0.99,0.5,0.13,08/08/2022,Port of Tokyo (Japan),SAKURA,71,2,N
Suitcase,63.58,4.25,0.68,0.59,0.26,04/02/2022,Port of Tianjin (China),LINDA,66,5,N
Tennis Racket,44.44,0.27,0.67,0.21,0.09,31/12/2022,Port of Tokyo (Japan),SERENA,70,11,N
Skipping Rope,8.67,0.17,1.57,0.07,0.01,14/05/2022,Port of Tianjin (China),LINDA,66,8,N
External Hard Drives,85.21,1.41,0.55,0.42,0.44,06/04/2022,Port of Tokyo (Japan),SERENA,69,13,N
TV,1317.93,43.53,1.73,1.76,0.32,17/09/2022,Port of Tokyo (Japan),SAKURA,41,10,N
Cycling Helmet,47.15,0.88,0.26,0.2,0.28,16/06/2022,Port of Shanghai (China),LINDA,57,13,N
Smart Home Devices,31.25,0.25,4.24,0.64,0.19,20/08/2022,Port of Tokyo (Japan),SAKURA,68,3,N
Toy Car,45.91,0.37,0.31,0.21,0.13,20/01/2022,Port of Tokyo (Japan),AURORA,41,11,N
Cycling Helmet,35.84,0.67,0.28,0.27,0.2,05/06/2022,Port of Singapore (Singapore),AURORA,48,5,N
Gaming Console,548.83,4.7,0.4,0.27,0.06,23/10/2022,Port of Shanghai (China),LINDA,44,14,N
Skipping Rope,5.77,0.17,1.87,0.07,0.03,29/10/2022,Port of Busan (South Korea),SERENA,48,13,N
Digital Camera,248.64,0.78,0.14,0.1,0.09,31/12/2022,Port of Shanghai (China),LINDA,40,5,N
Garden Cart,75.79,18.82,1.01,0.93,0.38,05/12/2022,Port of Shanghai (China),LINDA,44,6,N
Portable Charger,48.88,0.41,0.13,0.1,0.04,24/07/2022,Port of Singapore (Singapore),AURORA,29,12,N
Breakfast Bundle,34.22,1.24,0.56,0.35,0.23,07/02/2022,Port of Busan (South Korea),SERENA,30,2,N
Coffee Table,130.73,18.21,1.09,0.54,0.42,28/11/2022,Port of Tokyo (Japan),SERENA,62,11,N
Pallete of Books,157.4,954.99,0.63,0.32,1.06,20/05/2022,Port of Busan (South Korea),AMELIA,46,3,N
Movie Night Pack,18.29,2.84,1.01,0.52,0.21,17/05/2022,Port of Tokyo (Japan),SERENA,63,8,N
Box of Books,50.36,7.03,0.17,0.34,0.09,03/02/2022,Port of Tianjin (China),HANA,29,13,N
Headphones,65.45,0.34,0.16,0.12,0.11,25/08/2022,Port of Shanghai (China),LINDA,15,13,Y
Large Shipping Tube,18.49,0.77,0.8,0.33,1.55,26/03/2022,Port of Tianjin (China),LINDA,66,14,N
Pallete of Musical Instruments,718.62,1894.6,1.17,1.17,0.58,23/12/2022,Port of Busan (South Korea),AMELIA,76,7,N
Pallete of Dog Food,204.28,463.49,1.05,1,1.35,17/02/2022,Port of Shanghai (China),LINDA,20,1,Y
Bag of Flour,5.84,0.74,0.38,0.27,0.19,09/05/2022,Port of Tokyo (Japan),SAKURA,71,4,N
Box of Clothes,19.78,5.75,0.37,0.43,0.5,02/06/2022,Port of Tokyo (Japan),AURORA,29,9,N
Kitchen Timer,7.5,0.27,0.17,0.12,0.12,12/08/2022,Port of Singapore (Singapore),AURORA,34,11,N
Pallete of Musical Instruments,832.31,1610.88,1.48,1,0.68,17/10/2022,Port of Shanghai (China),LINDA,100,13,N
Large Box,38.19,0.66,0.74,0.57,0.35,16/05/2022,Port of Singapore (Singapore),HANA,38,17,N
Sneakers,161.91,1.64,0.36,0.37,0.33,19/12/2022,Port of Tokyo (Japan),AURORA,61,9,N
Forklift,8887.52,5158.38,2.47,2.36,1.69,10/01/2022,Port of Tokyo (Japan),SERENA,79,14,N
Large Padded Envelope,7.77,0.13,0.2,0.14,0.07,17/08/2022,Port of Tokyo (Japan),SAKURA,62,9,N
Bookshelf,155.34,15.61,0.56,0.43,1.3,14/10/2022,Port of Tianjin (China),HANA,57,4,N
Electric Shaver,82.53,0.24,0.11,0.02,0.06,26/03/2022,Port of Tokyo (Japan),SERENA,74,17,N
Yoga Mat,20.47,1.9,1.74,0.62,0.02,27/04/2022,Port of Tokyo (Japan),AURORA,39,2,N
Oranges,140.86,389,0.46,0.64,0.7,12/12/2022,Port of Tianjin (China),LINDA,59,2,N
Sofa,2128.94,152,1.8,1.38,0.74,01/05/2022,Port of Singapore (Singapore),AURORA,48,14,N
Weed Eater,73.75,3.47,1.09,0.29,0.19,02/04/2022,Port of Tokyo (Japan),SERENA,74,12,N
Plywood Sheets,49.49,10.33,1.55,0.99,0.02,25/01/2022,Port of Busan (South Korea),SAKURA,27,2,N
Weed Eater,102.58,4.73,0.85,0.4,0.11,12/06/2022,Port of Tianjin (China),LINDA,44,13,N
Lawn Edger,124.91,5.21,1.01,0.24,0.37,24/06/2022,Port of Tianjin (China),LINDA,71,12,N
Air Conditioners,823.72,277.73,0.97,0.62,0.45,29/01/2022,Port of Tianjin (China),LINDA,35,6,N
Bluetooth Speaker,49.6,0.77,0.29,0.24,0.13,25/02/2022,Port of Tokyo (Japan),AURORA,38,10,N
Box of Canned Soup,54.2,7.82,0.7,0.31,0.18,15/05/2022,Port of Singapore (Singapore),AURORA,40,2,N
Electric Shaver,124.2,0.27,0.19,0.04,0.1,10/11/2022,Port of Singapore (Singapore),AURORA,71,14,N
Garden Hose,16.11,1.81,15.32,0.26,0.25,01/10/2022,Port of Shanghai (China),HANA,29,15,N
Smart Home Devices,203.28,0.5,1.82,0.65,0.22,17/02/2022,Port of Shanghai (China),LINDA,40,11,N
Sofa,272.72,48.86,2.07,1.49,0.52,10/03/2022,Port of Singapore (Singapore),HANA,52,17,N
Pallete of Coffee,288.71,857.65,1.04,0.8,1.39,02/10/2022,Port of Busan (South Korea),SERENA,73,5,N
Camera,464.02,1.06,0.19,0.16,0.08,13/12/2022,Port of Tokyo (Japan),SAKURA,62,7,N
Large Padded Envelope,8.13,0.12,0.21,0.12,0.08,01/03/2022,Port of Singapore (Singapore),AURORA,27,1,N
Pallete of Tables,2160.61,5910.33,1.94,1.49,1.13,31/03/2022,Port of Busan (South Korea),SERENA,86,16,N
Electric Drill,98.84,3.42,0.28,0.26,0.22,04/03/2022,Port of Tianjin (China),HANA,61,2,N
Small Shipping Tube,5.87,0.29,0.27,0.07,0.37,01/11/2022,Port of Busan (South Korea),AMELIA,65,16,N
Loaf of Bread,4.86,0.45,0.39,0.13,0.1,19/02/2022,Port of Busan (South Korea),AMELIA,32,20,N
Soccer Ball,23.86,0.58,0.2,0.21,0.24,05/04/2022,Port of Busan (South Korea),AMELIA,53,20,N
Pallete of Tables,2266.21,5967.4,1.56,1.22,1.3,04/01/2022,Port of Busan (South Korea),SAKURA,69,17,N
Small Shipping Tube,7.14,0.3,0.28,0.05,0.32,11/09/2022,Port of Tianjin (China),HANA,73,3,N
